🤡	0	rosto de palhaço	cara | circo | clown | clown face | engraçado | face | palhaço | piada | rosto | rosto de palhaço
👹	0	ogro	assustador | conto de fadas | creature | demoníaco | devil | face | fairy | fairytale | fantasy | japonês | malvado | mask | monster | monstro | máscara | ogre | ogro | oni | rosto | scary | tale
👺	0	duende japonês	angry | bravo | conto | creature | duende | duende japonês | face | fadas | fairy | fairytale | fantasy | goblin | japonês | mask | mean | monster | monstro | máscara | raiva | rosto | tale | tengu | zangado
👻	0	fantasma	assombrado | assombração | boo | buu | conto | creature | excited | face | fadas | fairy | fairytale | fantasma | fantasy | ghost | halloween | haunting | monster | rosto | scary | silly | tale
👽	0	alienígena	OVNI | alien | alienígena | creature | extraterrestre | extraterrestrial | face | fairy | fairytale | fantasy | monster | rosto | space | tale | ufo
👾	0	monstro alienígena	E.T. | OVNI | alien | alien monster | creature | extraterrestre | extraterrestrial | face | fairy | fairytale | fantasy | game | gamer | games | invasores | monster | monstro | monstro alienígena | pixelado | pixelated | space | tale | ufo
🤖	0	rosto de robô	face | monster | monstro | robot | robotizado | robô | rosto | rosto de robô
😺	0	rosto de gato sorrindo	aberta | animal | boca | cat | face | feliz | gato | grinning | grinning cat | mouth | open | rosto | rosto de gato sorrindo | smile | smiling | sorrindo | sorriso
😸	0	rosto de gato sorrindo com olhos sorridentes	animal | cat | eye | eyes | face | gato | grin | grinning | grinning cat with smiling eyes | rindo | riso | rosto | rosto de gato sorrindo com olhos sorridentes | smile | smiling | sorrindo | sorriso
😹	0	rosto de gato com lágrimas de alegria	alegria | animal | cat | cat with tears of joy | chorando | choro | engraçado | face | felicidade | feliz | gato | joy | laugh | laughing | lol | lágrimas | rir | risos | rosto | rosto de gato com lágrimas de alegria | tear | tears
😻	0	rosto de gato sorridente com olhos de coração	adorei | amor | animal | apaixonado | cat | coração | eye | face | gato | heart | heart-eyes | love | paixão | rosto | rosto de gato sorridente com olhos de coração | smile | smiling | smiling cat with heart-eyes | sorriso
😼	0	rosto de gato com sorriso irônico	animal | cat | cat with wry smile | face | gato | ironic | irônico | rosto | rosto de gato com sorriso irônico | smile | sorriso | wry
😽	0	rosto de gato mandando um beijo	animal | beijando | beijo | cat | closed | eye | eyes | face | fechado | gato | kiss | kissing | kissing cat | olho | rosto | rosto de gato mandando um beijo
